TIME(s), ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
291.2823,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,51
291.4528,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,52
291.8011,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,53
292.1951,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,54
292.8851,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,55
293.0829,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x3 Rectangle Archetype ,56
294.1418,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,56
294.3539,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,57
294.6803,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,58
295.0509,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,58
295.2538,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,59
295.5847,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,60
297.382,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,59
297.7526,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,60
298.1048,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,60
298.2939,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,61
298.6428,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,62
299.0075,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,63
299.7417,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,64
299.9088,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,65
300.2431,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,null,0
300.2431,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,1
300.66,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,2
300.9812,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x2 Rectangle Archetype ,3
301.7121,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 Rectangle Archetype ,4
301.8849,3x3,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,5
302.6143,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,5
302.9833,3x3,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x3 Rectangle Archetype ,6
303.6857,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 T Archetype ,7
303.8927,3x3,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x2 Rectangle Archetype ,8
304.5854,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,8
304.9538,3x3,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,9
305.683,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,9
306.0529,3x3,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x3 Rectangle Archetype ,10
307.1096,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x3 Rectangle Archetype ,10
307.2914,3x3,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,2x3 Rectangle Archetype ,11
308.3808,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 Rectangle Archetype ,11
308.5476,3x3,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x2 Rectangle Archetype ,12
309.2899,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,12
309.6438,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,13
309.9926,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,14
310.3526,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,14
310.5535,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,15
310.8899,3x3,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x2 Rectangle Archetype ,16
311.6025,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,16
311.9913,3x3,2x2 Triangle Sample Room Variant(Clone),2x2 Triangle Archetype ,20,1x3 Rectangle Archetype ,17
